Time;Motor voltage URS;Motor voltage UST;Motor voltage magnitude;Motor voltage magnitude filtered;DC link current;Flux X;Flux Y;Flux angle;Flux magnitude;Rotor position flux;Rotor position plant;Control angle motor;PLL motor angle error;Notch mask motor;Motor frequency;Motor frequency filtered;Motor integrator angle;Speed;Excitation Ref Mode;PulseMode;DC link current filtered;DC reference limited;DC error;DC voltage;Pulse block causes;
2.5e-05;0.739544;-0.953599;1.00070;1.00069;0.000731523;0.0;0.0;0.0;0.0;0.0;0.550063;2.56912;0.023465;0.0;1.17551;1.19597;-1.23679;0.0;0.0;0.0;0.000728015;0.0;-0.000731523;-0.726451;0.0;
0.00102500;0.192065;-0.234836;0.250155;0.250139;0.000731523;0.0;0.0;0.0;0.0;0.0;0.556313;2.56912;-0.0974883;0.0;0.486332;0.618723;-1.09535;0.0;0.0;0.0;0.000733346;0.0;-0.000731523;-0.181598;0.0;
0.00202500;0.198185;-0.231271;0.250144;0.250145;0.000731523;0.0;0.0;0.0;0.0;0.0;0.562563;2.56912;-0.122506;0.0;0.0828269;0.147755;-1.05102;0.0;0.0;0.0;0.000713116;0.0;-0.000731523;-0.181591;0.0;
0.00302500;0.204035;-0.227304;0.250118;0.250144;0.000731523;0.0;0.0;0.0;0.0;0.0;0.568813;2.56912;-0.0923295;0.0;-0.0317433;-0.0190458;-1.04883;0.0;0.0;0.0;0.000720895;0.0;-0.000731523;-0.181572;0.0;
0.00402500;0.209550;-0.223067;0.250137;0.250138;0.000731523;0.0;0.0;0.0;0.0;0.0;0.575063;2.56912;-0.0493261;0.0;0.0114081;-0.00132150;-1.05211;0.0;0.0;0.0;0.000733674;0.0;-0.000731523;-0.181585;0.0;
0.00502500;0.214795;-0.218427;0.250147;0.250143;0.000731523;0.0;0.0;0.0;0.0;0.0;0.581313;2.56912;-0.0144236;0.0;0.110357;0.0898963;-1.04373;0.0;0.0;0.0;0.000723986;0.0;-0.000731523;-0.181593;0.0;
0.00602500;0.219637;-0.213517;0.250157;0.250136;0.000731523;0.0;0.0;0.0;0.0;0.0;0.587563;2.56912;0.00478746;0.0;0.196687;0.180730;-1.02015;0.0;0.0;0.0;0.000699761;0.0;-0.000731523;-0.1816;0.0;
0.00702500;0.224143;-0.208205;0.250124;0.250136;0.000731523;0.0;0.0;0.0;0.0;0.0;0.593813;2.56912;0.0114735;0.0;0.251586;0.242615;-0.984938;0.0;0.0;0.0;0.000734431;0.0;-0.000731523;-0.181576;0.0;
0.00802500;0.22838;-0.202623;0.250169;0.250138;0.000627020;0.0;0.0;0.0;0.0;0.0;0.600063;2.56912;0.0105946;0.0;0.274799;0.271698;-0.943451;0.0;0.0;0.0;0.000731817;0.0;-0.000627020;-0.181608;0.0;
0.00902500;0.232213;-0.196705;0.250169;0.250143;0.000731523;0.0;0.0;0.0;0.0;0.0;0.606313;2.56912;0.00660766;0.0;0.276040;0.276653;-0.89997;0.0;0.0;0.0;0.000691686;0.0;-0.000731523;-0.181608;0.0;
0.0100250;0.235643;-0.190451;0.250122;0.250142;0.000731523;0.0;0.0;0.0;0.0;0.0;0.612563;2.56912;0.00271764;0.0;0.267814;0.269693;-0.857108;0.0;0.0;0.0;0.000728015;0.0;-0.000731523;-0.181574;0.0;
0.0110250;0.238803;-0.183928;0.250157;0.250141;0.000731523;0.0;0.0;0.0;0.0;0.0;0.618813;2.56912;0.000364969;0.0;0.25947;0.260715;-0.815664;0.0;0.0;0.0;0.000733346;0.0;-0.000731523;-0.1816;0.0;
0.0120250;0.241493;-0.177135;0.250117;0.250145;0.000731523;0.0;0.0;0.0;0.0;0.0;0.625063;2.56912;-0.00100041;0.0;0.251646;0.253103;-0.775506;0.0;0.0;0.0;0.000713115;0.0;-0.000731523;-0.181571;0.0;
0.0130250;0.243914;-0.170074;0.250162;0.250146;0.000731523;0.0;0.0;0.0;0.0;0.0;0.631313;2.56912;-0.00106404;0.0;0.248713;0.249095;-0.736219;0.0;0.0;0.0;0.000720894;0.0;-0.000731523;-0.181604;0.0;
0.0140250;0.245864;-0.162744;0.250125;0.250143;0.000731523;0.0;0.0;0.0;0.0;0.0;0.637563;2.56912;-0.000908262;0.0;0.246919;0.247032;-0.697345;0.0;0.0;0.0;0.000733674;0.0;-0.000731523;-0.181577;0.0;
0.0150250;0.247478;-0.155145;0.250121;0.250146;0.000731523;0.0;0.0;0.0;0.0;0.0;0.643813;2.58949;-0.000371622;0.0;0.250086;0.250064;-0.658415;0.250064;0.0;0.0;0.000723986;0.0;-0.000731523;-0.18393;0.0;
0.0160250;0.248756;-0.147344;0.250166;0.250147;0.000731523;0.0;0.0;0.0;0.0;0.0;0.650063;2.58949;-0.000356753;0.0;0.250088;0.250082;-0.619134;0.250082;0.0;0.0;0.000699761;0.0;-0.000731523;-0.183962;0.0;
