Time;input.control_angle_pu;output.upper_limit_pu;output.lower_limit_pu;output.limited_control_angle_pu;output.limit_active;
2.5e-05;0.750466;0.416956;0.0138465;0.416956;1.0;
0.00102500;0.750466;0.416956;0.0138465;0.416956;1.0;
0.00202500;0.750466;0.416957;0.0138465;0.416957;1.0;
0.00302500;0.750466;0.416956;0.0138465;0.416956;1.0;
0.00402500;0.750399;0.416956;0.0138465;0.416956;1.0;
0.00502500;0.744098;0.416957;0.0138465;0.416957;1.0;
0.00602500;0.259353;0.416825;0.0138465;0.259353;0.0;
0.00702500;0.25154;0.416027;0.0138465;0.25154;0.0;
0.00802500;0.244127;0.416482;0.0138465;0.244127;0.0;
0.00902500;0.252103;0.416986;0.0138465;0.252103;0.0;
0.0100250;0.246732;0.416331;0.0138465;0.246732;0.0;
0.0110250;0.244107;0.416681;0.0138465;0.244107;0.0;
0.0120250;0.244077;0.416986;0.0138465;0.244077;0.0;
0.0130250;0.24655;0.416622;0.0138465;0.24655;0.0;
0.0140250;0.243992;0.416725;0.0138465;0.243992;0.0;
0.0150250;0.244029;0.416986;0.0138465;0.244029;0.0;
0.0160250;0.267777;0.416816;0.0138465;0.267777;0.0;
0.0170250;0.265738;0.415484;0.0138465;0.265738;0.0;
0.0180250;0.244154;0.415719;0.0138465;0.244154;0.0;
0.0190250;0.252864;0.416975;0.0138465;0.252864;0.0;
0.0200250;0.251699;0.416272;0.0138465;0.251699;0.0;
0.0210250;0.244153;0.416508;0.0138465;0.244153;0.0;
0.0220250;0.244123;0.416986;0.0138465;0.244123;0.0;
0.0230250;0.248531;0.416606;0.0138465;0.248531;0.0;
0.0240250;0.244044;0.416661;0.0138465;0.244044;0.0;
0.0250250;0.244081;0.416986;0.0138465;0.244081;0.0;
0.0260250;0.250800;0.416848;0.0138465;0.250800;0.0;
0.0270250;0.244054;0.416631;0.0138465;0.244054;0.0;
0.0280250;0.244024;0.416975;0.0138465;0.244024;0.0;
0.0290250;0.253799;0.416937;0.0138465;0.253799;0.0;
0.0300250;0.257512;0.416153;0.0138465;0.257512;0.0;
0.0310250;0.244053;0.416213;0.0138465;0.244053;0.0;
0.0320250;0.244023;0.416986;0.0138465;0.244023;0.0;
0.0330250;0.250966;0.416593;0.0138465;0.250966;0.0;
0.0340250;0.243953;0.416565;0.0138465;0.243953;0.0;
0.0350250;0.24399;0.416986;0.0138465;0.24399;0.0;
0.0360250;0.251109;0.416848;0.0138465;0.251109;0.0;
0.0370250;0.243965;0.41661;0.0138465;0.243965;0.0;
0.0380250;0.243935;0.416971;0.0138465;0.243935;0.0;
0.0390250;0.256109;0.416933;0.0138465;0.256109;0.0;
0.0400250;0.264453;0.415998;0.0138465;0.264453;0.0;
0.0410250;0.244012;0.415783;0.0138465;0.244012;0.0;
0.0420250;0.243982;0.41694;0.0138465;0.243982;0.0;
0.0430250;0.253993;0.416584;0.0138465;0.253993;0.0;
0.0440250;0.243925;0.416416;0.0138465;0.243925;0.0;
0.0450250;0.243962;0.416986;0.0138465;0.243962;0.0;
0.0460250;0.251881;0.41685;0.0138465;0.251881;0.0;
