Time;I_a_motor_pu;I_c_motor_pu;U_ab_for_pll_motor;U_bc_for_pll_motor;PLL_error_motor;filtered_frequency_motor;frequency_motor;flux_angle;flux_magnitude;flux_x;flux_y;absolute_speed;motor_voltage_magnitude;dc_voltage;motor_overlap_mask;cos_phi;flux_rotor_frequency;flux_rotor_position;release_pulses;pulse_block_causes;rotor_position_plant;Integrator_angle_motor;R+_motor;S+_motor;T+_motor;R-_motor;S-_motor;T-_motor;dc_voltage_plant;motor_notch_mask_active;
2.5e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-7.19712e-17;0.0;
0.000762500;8.81459e-06;2.70759e-05;-0.0767547;0.150094;1.58172;1.71318;2.0;1.57611;0.00718739;-3.81816e-05;0.00718729;0.0;0.150107;-0.108969;0.000200000;-0.840567;0.0;1.57611;0.0;1.0;0.0190459;0.113883;0.0;0.0;0.0;0.0;0.0;0.0;-1.18441e-16;0.0;
0.00150000;1.11994e-05;0.000110338;-0.0790223;0.150036;1.37329;1.98442;2.0;1.58493;0.0249182;-0.000352063;0.0249157;0.0;0.150107;-0.108969;0.000200000;-0.840567;0.0;1.58493;0.0;0.0;0.0364228;0.345575;0.0;0.0;0.0;0.0;0.0;0.0;1.58452e-16;0.0;
0.00223750;1.3563e-05;0.000108952;-0.0812651;0.149931;1.15586;1.99915;2.0;1.59376;0.0425997;-0.000978204;0.0425884;0.0;0.150107;-0.108969;0.000200000;-0.840567;0.0;1.59376;0.0;0.0;0.0537998;0.577268;0.0;0.0;0.0;0.0;0.0;0.0;5.29716e-17;0.0;
0.00297500;1.59223e-05;0.000107547;-0.0834825;0.149779;0.937942;1.99995;2.0;1.60260;0.0602779;-0.00191654;0.0602474;7.17844e-06;0.150107;-0.108969;0.000200000;-0.840567;7.17844e-06;1.60260;0.0;0.0;0.0711767;0.808960;0.0;0.0;0.0;0.0;0.0;0.0;2.77434e-16;0.0;
0.00371249;1.82767e-05;0.000106108;-0.0856739;0.14958;0.719995;2.0;2.0;1.61143;0.0779514;-0.00316678;0.077887;5.1412e-05;0.150107;-0.108970;0.261799;-0.840568;5.1412e-05;1.61143;0.0;0.0;0.0885537;1.04065;0.0;0.0;0.0;0.0;0.0;0.0;3.93077e-16;0.0;
0.00445000;2.06254e-05;0.000104636;-0.0878385;0.149335;0.501914;1.98111;1.96077;1.62027;0.0956188;-0.00472851;0.0955018;0.000135118;0.150107;-0.108970;0.000200000;-0.840572;0.000135118;1.62027;0.0;0.0;0.105931;1.27219;0.0;0.0;0.0;0.0;0.0;0.0;6.55361e-16;0.0;
0.00518752;2.29676e-05;0.000103131;-0.0899757;0.149043;0.287434;1.71263;1.60703;1.6291;0.113279;-0.00660126;0.113086;0.000256956;0.150107;-0.108971;0.000200000;-0.840577;0.000256956;1.6291;0.0;0.0;0.123308;1.48894;0.0;0.0;0.0;0.0;0.0;0.0;3.87942e-16;0.0;
0.00592503;2.53026e-05;0.000101595;-0.0920848;0.148704;0.110219;1.22076;1.07981;1.63794;0.130930;-0.00878445;0.130635;0.000415610;0.150107;-0.108972;0.000200187;-0.840584;0.000415610;1.63794;0.0;0.0;0.140684;1.65767;0.0;0.0;0.0;0.0;0.0;0.0;5.40513e-16;0.0;
0.00666254;2.76298e-05;0.000100026;-0.0941652;0.148319;-0.00654388;0.712493;0.585903;1.64678;0.148571;-0.0112774;0.148142;0.000609789;0.150107;-0.108973;0.000200375;-0.840592;0.000609789;1.64678;0.0;0.0;0.158061;1.76635;0.0;0.0;0.0;0.0;0.0;0.0;4.91548e-16;0.0;
