Time;input.current_ref_limited;input.dc_current_actual;output.control_angle;output.pi_controller_output;output.error;
2.5e-05;0.0;0.000731523;0.250466;-0.00292609;-0.000731523;
0.00102500;0.0;0.000731523;0.250466;-0.00292609;-0.000731523;
0.00202500;0.0;0.000731523;0.250466;-0.00292609;-0.000731523;
0.00302500;0.0;0.000731523;0.250466;-0.00292609;-0.000731523;
0.00402500;0.0;0.000627020;0.250399;-0.00250808;-0.000627020;
0.00502500;0.01;0.000731523;0.244098;0.0370739;0.00926848;
0.00602500;0.01;0.0246628;0.259353;-0.0587313;-0.0146628;
0.00702500;0.01;0.0123314;0.25154;-0.00967554;-0.00233139;
0.00802500;0.01;0.000731523;0.244127;0.0368949;0.00926848;
0.00902500;0.01;0.0132719;0.252103;-0.0132161;-0.00327192;
0.0100250;0.01;0.00480715;0.246732;0.0205339;0.00519285;
0.0110250;0.01;0.000731523;0.244107;0.0370210;0.00926848;
0.0120250;0.01;0.000731523;0.244077;0.0372064;0.00926848;
0.0130250;0.01;0.00459814;0.24655;0.0216731;0.00540186;
0.0140250;0.01;0.000627020;0.243992;0.0377427;0.00937298;
0.0150250;0.01;0.000731523;0.244029;0.0375106;0.00926848;
0.0160250;0.01;0.0379347;0.267777;-0.111462;-0.0279347;
0.0170250;0.01;0.0345906;0.265738;-0.0987232;-0.0245906;
0.0180250;0.01;0.000731523;0.244154;0.0367226;0.00926848;
0.0190250;0.01;0.0144215;0.252864;-0.0179947;-0.00442145;
0.0200250;0.01;0.0125404;0.251699;-0.0106754;-0.00254039;
0.0210250;0.01;0.000731523;0.244153;0.0367305;0.00926848;
0.0220250;0.01;0.000731523;0.244123;0.0369159;0.00926848;
0.0230250;0.01;0.00762874;0.248531;0.00922895;0.00237126;
0.0240250;0.01;0.000627020;0.244044;0.0374141;0.00937298;
0.0250250;0.01;0.000731523;0.244081;0.037182;0.00926848;
0.0260250;0.01;0.0112864;0.250800;-0.00502593;-0.00128635;
0.0270250;0.01;0.000731523;0.244054;0.0373508;0.00926848;
0.0280250;0.01;0.000731523;0.244024;0.0375367;0.00926848;
0.0290250;0.01;0.0160935;0.253799;-0.0238682;-0.00609350;
0.0300250;0.01;0.0218412;0.257512;-0.0471846;-0.0118412;
0.0310250;0.01;0.000731523;0.244053;0.0373595;0.00926848;
0.0320250;0.01;0.000731523;0.244023;0.0375448;0.00926848;
0.0330250;0.01;0.0115999;0.250966;-0.00606686;-0.00159986;
0.0340250;0.01;0.000627020;0.243953;0.0379877;0.00937298;
0.0350250;0.01;0.000731523;0.24399;0.0377556;0.00926848;
0.0360250;0.01;0.0119134;0.251109;-0.00696570;-0.00191337;
0.0370250;0.01;0.000731523;0.243965;0.0379118;0.00926848;
0.0380250;0.01;0.000731523;0.243935;0.0380977;0.00926848;
0.0390250;0.01;0.0198556;0.256109;-0.0383764;-0.00985562;
0.0400250;0.01;0.032814;0.264453;-0.0906848;-0.022814;
0.0410250;0.01;0.000731523;0.244012;0.0376171;0.00926848;
0.0420250;0.01;0.000731523;0.243982;0.0378025;0.00926848;
0.0430250;0.01;0.0164070;0.253993;-0.0250877;-0.00640702;
0.0440250;0.01;0.000627020;0.243925;0.0381602;0.00937298;
0.0450250;0.01;0.000731523;0.243962;0.0379281;0.00926848;
0.0460250;0.01;0.0131674;0.251881;-0.0118185;-0.00316741;
0.0470250;0.01;0.000731523;0.243941;0.0380597;0.00926848;
0.0480250;0.01;0.000731523;0.243912;0.0382456;0.00926848;
0.0490250;0.01;0.0215277;0.257149;-0.0449062;-0.0115277;
0.0500250;0.01;0.0441004;0.271684;-0.135822;-0.0341004;
0.0510250;0.01;0.00146305;0.244511;0.0344826;0.00853695;
0.0520250;0.01;0.000731523;0.244015;0.0375941;0.00926848;
0.0530250;0.01;0.0220502;0.257631;-0.0479273;-0.0120502;
0.0540250;0.01;0.000627020;0.243978;0.0378274;0.00937298;
0.0550250;0.01;0.000731523;0.244015;0.0375953;0.00926848;
0.0560250;0.01;0.0150485;0.253134;-0.0196888;-0.00504847;
0.0570250;0.01;0.000731523;0.244;0.0376925;0.00926848;
0.0580250;0.01;0.000731523;0.24397;0.0378784;0.00926848;
0.0590250;0.01;0.0103458;0.250081;-0.000507375;-0.000345825;
0.0600250;0.01;0.000731523;0.243947;0.0380247;0.00926848;
0.0610250;0.01;0.000731523;0.243917;0.0382119;0.00926848;
0.0620250;0.01;0.000731523;0.243887;0.0383973;0.00926848;
0.0630250;0.01;0.0288429;0.261846;-0.0743595;-0.0188429;
0.0640250;0.01;0.000731523;0.243946;0.0380292;0.00926848;
0.0650250;0.01;0.000731523;0.243916;0.0382151;0.00926848;
0.0660250;0.01;0.0173475;0.254502;-0.0282823;-0.00734754;
0.0670250;0.01;0.000731523;0.24391;0.0382569;0.00926848;
0.0680250;0.01;0.000731523;0.24388;0.0384428;0.00926848;
0.0690250;0.01;0.0118089;0.250924;-0.00580876;-0.00180887;
0.0700250;0.01;0.000731523;0.243861;0.038564;0.00926848;
