Time;Grid voltage URS;Grid voltage UST;Grid voltage magnitude;Grid voltage magnitude filtered;DC link current;Control angle grid unlimited;Control angle grid;Control angle grid lower limit;Control angle grid upper limit;DC1 end position request;DC2 end position request;End position request causes;Control angle motor;PLL grid angle error;Notch mask grid;Grid frequency;Grid frequency filtered;Grid integrator angle;Speed;Excitation Ref Mode;PulseMode;DC link current filtered;DC reference limited;DC error;Release pulses grid;Pulse block causes;
2.5e-05;0.578062;-0.995651;0.999952;0.999972;0.000731523;1.57445;2.61981;0.087;2.61981;1.0;0.0;1.0;2.56912;0.000260277;0.0;1.00051;1.00059;-1.39576;0.0;0.0;0.0;0.000728015;0.0;-0.000731523;0.0;0.0;
0.00102500;0.801957;-0.91829;0.999975;0.999969;0.000731523;1.57445;2.61981;0.087;2.61981;1.0;0.0;1.0;2.56912;0.000164031;0.0;1.00050;1.00043;-1.08146;0.0;0.0;0.0;0.000733346;0.0;-0.000731523;0.0;0.0;
0.00202500;0.947271;-0.751022;0.999957;0.999969;0.000731523;1.57445;2.61981;0.087;2.61981;1.0;0.0;1.0;2.56912;3.12040e-05;0.0;1.00004;1.00006;-0.767223;0.0;0.0;0.0;0.000713116;0.0;-0.000731523;0.0;0.0;
0.00302500;0.999891;-0.510225;0.999961;0.999969;0.000731523;1.57445;2.61981;0.087;2.61981;1.0;0.0;1.0;2.56912;4.15995e-05;0.0;1.00017;1.00011;-0.453038;0.0;0.0;0.0;0.000720895;0.0;-0.000731523;0.0;0.0;
0.00402500;0.954647;-0.219539;0.999977;0.999965;0.000731523;1.57445;2.61981;0.087;2.61981;1.0;0.0;1.0;2.56912;-3.41738e-06;0.0;0.999959;0.999986;-0.138874;0.0;0.0;0.0;0.000733674;0.0;-0.000731523;0.0;0.0;
0.00502500;0.815954;0.0926363;0.999966;0.999971;0.000731523;1.57445;2.61981;0.087;2.61981;1.0;0.0;1.0;2.56912;-6.11412e-05;0.0;0.999665;0.99978;0.175283;0.0;0.0;0.0;0.000723986;0.0;-0.000731523;0.0;0.0;
0.00602500;0.597344;0.395809;0.999946;0.99995;0.000731523;1.57445;2.61982;0.087;2.61982;1.0;0.0;1.0;2.56912;4.42533e-05;0.0;1.00017;1.00006;0.4894;0.0;0.0;0.0;0.000699761;0.0;-0.000731523;0.0;0.0;
0.00702500;0.320307;0.660186;0.999936;0.999945;0.000731523;1.57445;2.61981;0.087;2.61981;1.0;0.0;1.0;2.56912;1.05915e-06;0.0;1.00002;1.00011;0.803601;0.0;0.0;0.0;0.000734431;0.0;-0.000731523;0.0;0.0;
0.00802500;0.0118481;0.859978;0.999928;0.999945;0.000627020;1.57393;2.61981;0.087;2.61981;1.0;0.0;1.0;2.56912;3.4598e-05;0.0;1.00022;1.00013;1.11779;0.0;0.0;0.0;0.000731817;0.0;-0.000627020;0.0;0.0;
0.00902500;-0.297656;0.975556;0.999952;0.999963;0.000731523;1.57445;2.61982;0.087;2.61982;1.0;0.0;1.0;2.56912;1.36929e-05;0.0;1.00003;0.999892;1.43189;0.0;0.0;0.0;0.000691686;0.0;-0.000731523;0.0;0.0;
