Time;Grid voltage URS LIN;Grid voltage UST LIN;Grid voltage URS LIN compensated;Grid voltage UST LIN compensated;Grid voltage URS 2nd path LIN;Grid voltage UST 2nd path LIN;Motor voltage URS LIN;Motor voltage UST LIN;Motor voltage URS LIN compensated;Motor voltage UST LIN compensated;Motor voltage URS 2nd path LIN;Motor voltage UST 2nd path LIN;DC link current LIN;
2.5e-05;72.7354;-123.816;71.9837;-124.011;63.0426;-124.444;79.7682;-102.363;79.7682;-102.363;77.6287;-103.281;0.000670075;
0.00102500;100.382;-113.892;99.8115;-114.376;93.1183;-118.055;20.6576;-25.2329;20.6576;-25.2329;20.5131;-25.2691;0.000670075;
0.00202500;118.199;-92.822;117.874;-93.5448;114.072;-100.115;21.3226;-24.8426;21.3226;-24.8426;21.1997;-24.9221;0.000670075;
0.00302500;124.444;-62.6595;124.387;-63.5558;123.859;-72.374;21.9442;-24.4234;21.9442;-24.4234;21.8286;-24.5029;0.000670075;
0.00402500;118.51;-26.3677;118.734;-27.3435;121.524;-37.5422;22.5369;-23.9608;22.5369;-23.9608;22.4285;-24.0476;0.000670075;
0.00502500;100.975;12.5044;101.452;11.5359;107.292;0.954096;23.0935;-23.4621;23.0935;-23.4621;22.9995;-23.5633;0.000670075;
0.00602500;73.5521;50.1551;74.2388;49.295;82.5582;39.3637;23.6211;-22.9344;23.6211;-22.9344;23.5271;-23.0356;0.000670075;
0.00702500;38.93;82.8979;39.7612;82.233;49.7431;73.9135;24.1054;-22.3634;24.1054;-22.3634;24.0186;-22.4719;0.000670075;
0.00802500;0.498732;107.524;1.38778;107.112;12.0563;101.235;24.5535;-21.7635;24.5535;-21.7635;24.474;-21.8719;0.000574350;
0.00902500;-37.9759;121.626;-37.1158;121.51;-26.8014;118.648;24.9655;-21.1202;24.9655;-21.1202;24.8932;-21.2431;0.000670075;
0.0100250;-72.7354;123.816;-71.9909;124.011;-63.0498;124.444;25.3414;-20.4552;25.3414;-20.4552;25.2691;-20.5781;0.000670075;
0.0110250;-100.382;113.892;-99.8187;114.376;-93.1183;118.055;25.6739;-19.7541;25.6739;-19.7541;25.616;-19.8842;0.000670075;
0.0120250;-118.199;92.822;-117.874;93.5448;-114.072;100.115;25.963;-19.0241;25.963;-19.0241;25.9124;-19.1614;0.000670075;
0.0130250;-124.444;62.6595;-124.394;63.5558;-123.859;72.374;26.216;-18.2579;26.216;-18.2579;26.1726;-18.4025;0.000670075;
0.0140250;-118.51;26.3677;-118.734;27.3435;-121.524;37.5422;26.4328;-17.4701;26.4328;-17.4701;26.3967;-17.6219;0.000670075;
0.0150250;-100.975;-12.5044;-101.452;-11.5359;-107.292;-0.946868;26.6063;-16.6533;26.6063;-16.6533;26.5774;-16.8123;0.000670075;
0.0160250;-73.5521;-50.1551;-74.2388;-49.295;-82.5582;-39.3565;26.7364;-15.8149;26.7364;-15.8149;26.7147;-15.9739;0.000670075;
0.0170250;-38.9372;-82.8979;-39.7612;-82.2257;-49.7431;-73.9135;26.8303;-14.9475;26.8303;-14.9475;26.8159;-15.1137;0.000670075;
0.0180250;-0.498732;-107.524;-1.38778;-107.112;-12.0563;-101.235;26.8737;-14.0585;26.8737;-14.0585;26.8737;-14.2247;0.000574350;
