Time;DC Link voltage;Grid voltage RS;Grid voltage ST;Grid voltage TR;Machine speed;Machine load;Machine electrical torque;Machine power;Machine current R;Machine current S;Machine current T;Machine voltage URS;Machine voltage UST;Machine voltage excitation;Grid pulses R+;Grid pulses S+;Grid pulses T+;Grid pulses R-;Grid pulses S-;Grid pulses T-;Motor pulses R+;Motor pulses S+;Motor pulses T+;Motor pulses R-;Motor pulses S-;Motor pulses T-;
2.5e-05;-115.717;73.532;-123.719;50.1869;13.09;0.0;-670.704;-8779.49;0.00281188;-0.00977006;0.00695817;50.3725;-64.3163;94.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;
0.00102500;-115.679;100.96;-113.498;12.5387;13.09;0.0;15.0655;197.207;-9.73036e-05;0.000226013;-0.000128710;20.6801;-25.2241;94.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;
0.00202500;-115.64;118.505;-92.1681;-26.3368;13.09;0.0;15.0655;197.207;-0.000105269;0.000226551;-0.000121282;21.3389;-24.8389;94.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;
0.00302500;-115.602;124.45;-61.8155;-62.6343;13.09;0.0;15.0655;197.207;-0.000113072;0.000226739;-0.000113667;21.9648;-24.4154;94.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;
0.00402500;-115.563;118.213;-25.4121;-92.8007;13.09;0.0;15.0655;197.207;-0.000120701;0.000226578;-0.000105877;22.5568;-23.9543;94.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;
0.00502500;-115.525;100.404;13.4789;-113.883;13.09;0.0;15.0655;197.207;-0.000128143;0.000226067;-9.79241e-05;23.1141;-23.4562;94.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;
0.00602500;-115.486;72.7672;51.0505;-123.818;13.09;0.0;15.0655;197.207;-0.000135388;0.000225208;-8.98198e-05;23.6357;-22.9219;94.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;
0.00702500;-115.448;38.0072;83.625;-121.632;13.09;0.0;15.0655;197.207;-0.000142425;0.000224002;-8.1577e-05;24.1209;-22.3523;94.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;
0.00802500;-115.409;-0.473143;108.014;-107.541;13.09;0.0;15.0655;197.207;-0.000149241;0.000222450;-7.32085e-05;24.5688;-21.7483;94.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;
0.00902500;-115.371;-38.9073;121.829;-82.922;13.09;0.0;15.0655;197.207;-0.000155828;0.000220555;-6.47271e-05;24.9789;-21.1107;94.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;
