Time;U_ab_for_pll;U_bc_for_pll;control_angle_dc1_motor;control_angle_common_motor;control_angle;control_angle_limited;control_angle_filtered;I_dc_pu;I_dc_ref;I_dc_ref_limited;voltage_magnitude_grid;absolute_speed;pulse_block_causes;pulse_mode;R+;R+_motor;I_a_pu;I_c_pu;
2.5e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00871488;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;
0.000762500;0.152444;-0.932212;2.56912;2.56912;1.5746;2.61989;0.00540919;0.000781621;0.0;0.0;1.00010;0.0;1.0;0.0;0.0;0.0;0.00103305;-0.000762069;
0.00150000;0.378979;-0.991036;2.56912;2.56912;1.57485;2.6196;0.0306875;0.000818662;0.0;0.0;1.00012;0.0;0.0;0.0;0.0;0.0;0.000733745;-0.000255877;
0.00223750;0.584572;-0.995067;2.56912;2.56912;1.57489;2.61976;0.0743269;0.000812063;0.0;0.0;1.00013;0.0;0.0;0.0;0.0;0.0;0.000743426;-0.000412203;
0.00297500;0.757862;-0.94411;2.56913;2.56913;1.5747;2.6198;0.133675;0.000762064;0.0;0.0;1.00013;7.17844e-06;0.0;0.0;0.0;0.0;0.000711970;-0.000545655;
0.00371249;0.889271;-0.840981;2.56913;2.56913;1.57441;2.6198;0.206278;0.000745492;0.0;0.0;1.00013;5.1412e-05;0.0;0.0;0.0;0.0;0.000641171;-0.000648952;
0.00445000;0.971539;-0.69138;2.56914;2.56914;1.57476;2.61981;0.289879;0.000804743;0.0;0.0;1.00013;0.000135118;0.0;0.0;0.0;0.0;0.000534940;-0.000716391;
0.00518752;1.00012;-0.503573;2.56915;2.56915;1.5749;2.6198;0.38241;0.000820987;0.0;0.0;1.00013;0.000256956;0.0;0.0;0.0;0.0;0.000399149;-0.000744241;
0.00592503;0.973433;-0.287938;2.56916;2.56916;1.57481;2.61979;0.481989;0.000793357;0.0;0.0;1.00013;0.000415610;0.0;0.0;0.0;0.0;0.000241301;-0.000730962;
0.00666254;0.892954;-0.0563913;2.56917;2.56917;1.5745;2.61979;0.586908;0.000723328;0.0;0.0;1.00013;0.000609789;0.0;0.0;0.0;0.0;7.01185e-05;-0.000677291;
0.00740005;0.76313;0.178271;2.56919;2.56919;1.57463;2.6198;0.695628;0.000779166;0.0;0.0;1.00013;0.000838222;0.0;0.0;0.0;0.0;-7.59054e-05;-0.000603787;
